,DISTRICT,Year,BLANK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR
0,1,2014,95.0,96.0,94.0,93.0,94.0,94.0,0.0,95.0,0.0,94.0
1,1,2015,95.0,97.0,95.0,95.0,95.0,94.0,0.0,96.0,100.0,95.0
2,1,2016,94.0,95.0,93.0,92.0,93.0,94.0,78.0,95.0,98.0,92.0
3,1,2017,96.0,97.0,96.0,95.0,96.0,95.0,100.0,97.0,99.0,96.0
4,1,2018,94.0,95.0,93.0,92.0,94.0,93.0,93.0,95.0,97.0,94.0
5,2,2014,96.0,97.0,96.0,95.0,96.0,96.0,0.0,97.0,0.0,95.0
6,2,2015,96.0,97.0,96.0,95.0,96.0,95.0,0.0,97.0,100.0,96.0
7,2,2016,95.0,96.0,94.0,93.0,94.0,93.0,100.0,96.0,95.0,94.0
8,2,2017,97.0,97.0,97.0,96.0,97.0,98.0,100.0,97.0,98.0,95.0
9,2,2018,94.0,95.0,94.0,93.0,95.0,96.0,93.0,95.0,96.0,94.0
10,3,2014,97.0,97.0,96.0,95.0,97.0,96.0,0.0,97.0,0.0,95.0
11,3,2015,96.0,97.0,96.0,95.0,96.0,96.0,100.0,97.0,100.0,96.0
12,3,2016,96.0,96.0,95.0,94.0,95.0,95.0,100.0,96.0,100.0,95.0
13,3,2017,97.0,97.0,97.0,96.0,97.0,96.0,97.0,97.0,98.0,97.0
14,3,2018,94.0,95.0,94.0,92.0,94.0,93.0,97.0,94.0,98.0,95.0
15,4,2014,98.0,98.0,98.0,97.0,98.0,98.0,0.0,98.0,0.0,98.0
16,4,2015,97.0,97.0,97.0,96.0,97.0,97.0,0.0,97.0,0.0,97.0
17,4,2016,97.0,97.0,96.0,96.0,96.0,97.0,100.0,97.0,100.0,97.0
18,4,2017,98.0,98.0,98.0,98.0,98.0,99.0,100.0,98.0,100.0,99.0
19,4,2018,93.0,94.0,93.0,92.0,93.0,96.0,99.0,94.0,97.0,92.0
20,5,2014,94.0,95.0,95.0,94.0,94.0,100.0,0.0,95.0,0.0,92.0
21,5,2015,93.0,94.0,93.0,94.0,92.0,96.0,0.0,94.0,0.0,90.0
22,5,2016,94.0,95.0,94.0,94.0,94.0,93.0,100.0,95.0,98.0,92.0
23,5,2017,94.0,95.0,95.0,94.0,94.0,96.0,100.0,95.0,97.0,91.0
24,5,2018,93.0,94.0,94.0,94.0,93.0,96.0,90.0,94.0,95.0,91.0
