DISTRICT,PARTY,Year,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27
STATUS,,,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total
0,DEM,2014,134293.0,9029.0,143322.0,152013.0,7078.0,159091.0,185944.0,6776.0,192720.0,200967.0,4731.0,205698.0,285333.0,15749.0,301082.0,193507.0,13180.0,206687.0,261258.0,19269.0,280527.0,317391.0,20331.0,337722.0,305882.0,19671.0,325553.0,241859.0,29860.0,271719.0,181049.0,10798.0,191847.0,245977.0,35086.0,281063.0,314229.0,37961.0,352190.0,199060.0,17156.0,216216.0,265862.0,29801.0,295663.0,239335.0,22452.0,261787.0,185510.0,13949.0,199459.0,145155.0,12118.0,157273.0,131443.0,12980.0,144423.0,171593.0,20953.0,192546.0,116370.0,10892.0,127262.0,128554.0,11949.0,140503.0,128917.0,13077.0,141994.0,141823.0,14765.0,156588.0,170138.0,12067.0,182205.0,239607.0,18879.0,258486.0,141632.0,8586.0,150218.0
1,DEM,2015,132446.0,7523.0,139969.0,150600.0,6597.0,157197.0,183513.0,7766.0,191279.0,201357.0,6221.0,207578.0,277835.0,20367.0,298202.0,186189.0,16415.0,202604.0,247142.0,28992.0,276134.0,301145.0,35152.0,336297.0,292595.0,32162.0,324757.0,228564.0,37668.0,266232.0,176520.0,15384.0,191904.0,229946.0,43508.0,273454.0,302388.0,49995.0,352383.0,191176.0,23049.0,214225.0,258919.0,43536.0,302455.0,234432.0,26351.0,260783.0,185992.0,13255.0,199247.0,142851.0,12166.0,155017.0,128600.0,12268.0,140868.0,168070.0,15053.0,183123.0,113425.0,8671.0,122096.0,124882.0,10873.0,135755.0,125819.0,9945.0,135764.0,138319.0,12943.0,151262.0,165989.0,11812.0,177801.0,234287.0,16085.0,250372.0,139003.0,6913.0,145916.0
2,DEM,2016,135776.0,10207.0,145983.0,152920.0,9072.0,161992.0,185541.0,8967.0,194508.0,205064.0,7812.0,212876.0,278079.0,17050.0,295129.0,186775.0,13012.0,199787.0,234281.0,25551.0,259832.0,281952.0,31087.0,313039.0,275799.0,28635.0,304434.0,227505.0,31602.0,259107.0,173003.0,13338.0,186341.0,235199.0,36048.0,271247.0,305561.0,42713.0,348274.0,194453.0,19591.0,214044.0,261924.0,40994.0,302918.0,238218.0,27512.0,265730.0,191483.0,15952.0,207435.0,147018.0,13514.0,160532.0,132818.0,14435.0,147253.0,172867.0,19664.0,192531.0,,,,126691.0,14145.0,140836.0,128055.0,12932.0,140987.0,138622.0,16217.0,154839.0,169101.0,16255.0,185356.0,233472.0,19212.0,252684.0,140688.0,7334.0,148022.0
3,DEM,2017,145101.0,5933.0,151034.0,162220.0,5156.0,167376.0,195755.0,6300.0,202055.0,216545.0,3942.0,220487.0,303526.0,17091.0,320617.0,202317.0,13980.0,216297.0,278668.0,25624.0,304292.0,332738.0,29799.0,362537.0,320732.0,28895.0,349627.0,254918.0,33922.0,288840.0,187124.0,15683.0,202807.0,268093.0,38512.0,306605.0,335174.0,45584.0,380758.0,217125.0,20241.0,237366.0,287322.0,41652.0,328974.0,261317.0,26484.0,287801.0,206107.0,13112.0,219219.0,156228.0,8518.0,164746.0,141583.0,8539.0,150122.0,181586.0,12141.0,193727.0,120064.0,7491.0,127555.0,,,,131984.0,7354.0,139338.0,146245.0,11319.0,157564.0,180925.0,9382.0,190307.0,241503.0,17010.0,258513.0,144847.0,5906.0,150753.0
4,DEM,2018,144470.0,10086.0,154556.0,159400.0,9440.0,168840.0,188902.0,12367.0,201269.0,204544.0,15085.0,219629.0,298385.0,20071.0,318456.0,198024.0,15016.0,213040.0,271911.0,31143.0,303054.0,324586.0,36652.0,361238.0,313949.0,33517.0,347466.0,247623.0,38988.0,286611.0,183564.0,16846.0,200410.0,259877.0,44238.0,304115.0,327895.0,50766.0,378661.0,214570.0,21175.0,235745.0,282788.0,44336.0,327124.0,251841.0,29544.0,281385.0,201872.0,16792.0,218664.0,154331.0,12972.0,167303.0,141289.0,11503.0,152792.0,178650.0,17920.0,196570.0,117878.0,10560.0,128438.0,127765.0,11143.0,138908.0,128565.0,11331.0,139896.0,143319.0,15962.0,159281.0,178181.0,15180.0,193361.0,234929.0,19306.0,254235.0,142703.0,7283.0,149986.0
5,REP,2014,154637.0,7389.0,162026.0,152726.0,5036.0,157762.0,148072.0,4294.0,152366.0,168159.0,3245.0,171404.0,33584.0,1755.0,35339.0,51539.0,3361.0,54900.0,24324.0,2336.0,26660.0,31181.0,1974.0,33155.0,28845.0,1832.0,30677.0,45318.0,6857.0,52175.0,101831.0,5157.0,106988.0,56739.0,10144.0,66883.0,17677.0,3048.0,20725.0,33288.0,2898.0,36186.0,13468.0,1993.0,15461.0,63684.0,5797.0,69481.0,99662.0,7062.0,106724.0,133336.0,8533.0,141869.0,138118.0,9461.0,147579.0,109822.0,9995.0,119817.0,170047.0,11785.0,181832.0,159895.0,9529.0,169424.0,155040.0,10282.0,165322.0,140099.0,9671.0,149770.0,121738.0,5459.0,127197.0,91854.0,5518.0,97372.0,177897.0,8782.0,186679.0
6,REP,2015,152334.0,6030.0,158364.0,150692.0,4695.0,155387.0,146150.0,4764.0,150914.0,166613.0,4346.0,170959.0,32526.0,2103.0,34629.0,49018.0,4012.0,53030.0,22472.0,3292.0,25764.0,29647.0,3056.0,32703.0,27516.0,2852.0,30368.0,42430.0,8704.0,51134.0,99093.0,6873.0,105966.0,52446.0,12103.0,64549.0,16514.0,3724.0,20238.0,31196.0,3756.0,34952.0,13085.0,2737.0,15822.0,62362.0,5881.0,68243.0,98960.0,6506.0,105466.0,131146.0,7916.0,139062.0,135290.0,8151.0,143441.0,107560.0,6168.0,113728.0,166243.0,9283.0,175526.0,156875.0,8422.0,165297.0,152146.0,7974.0,160120.0,137516.0,7912.0,145428.0,118846.0,4972.0,123818.0,89463.0,4664.0,94127.0,175785.0,7283.0,183068.0
7,REP,2016,153129.0,8509.0,161638.0,151085.0,6542.0,157627.0,146792.0,6087.0,152879.0,167016.0,5521.0,172537.0,32411.0,1763.0,34174.0,48648.0,3026.0,51674.0,19744.0,2694.0,22438.0,27102.0,2487.0,29589.0,25427.0,2519.0,27946.0,41640.0,7255.0,48895.0,97665.0,5808.0,103473.0,52609.0,9948.0,62557.0,16307.0,3077.0,19384.0,30839.0,3073.0,33912.0,13270.0,2497.0,15767.0,62567.0,6497.0,69064.0,100312.0,7904.0,108216.0,131948.0,9324.0,141272.0,135193.0,9705.0,144898.0,107273.0,8382.0,115655.0,,,,156279.0,11554.0,167833.0,151222.0,10670.0,161892.0,136409.0,9322.0,145731.0,118734.0,6921.0,125655.0,89134.0,5505.0,94639.0,177013.0,8065.0,185078.0
