,DISTRICT,STATUS,Year,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,WEP,REF
0,1,Active,2014,134293,154637,12071,2118,22918,948,268,121201,0.0,0.0
1,1,Active,2015,132446,152334,12055,2148,22959,1014,286,122491,1.0,0.0
2,1,Active,2016,135776,153129,12551,2164,23088,1008,306,125031,46.0,7.0
3,1,Active,2017,145101,163612,11921,2100,23411,1104,384,127925,98.0,24.0
4,1,Active,2018,144470,162308,11778,2066,23245,1108,394,128547,150.0,41.0
5,1,Inactive,2014,9029,7389,461,133,1374,73,16,6960,0.0,0.0
6,1,Inactive,2015,7523,6030,430,121,1155,55,18,5782,0.0,2.0
7,1,Inactive,2016,10207,8509,606,177,1612,88,19,8164,1.0,2.0
8,1,Inactive,2017,5933,5104,422,91,950,57,19,5152,1.0,0.0
9,1,Inactive,2018,10086,8290,643,130,1545,96,28,8436,5.0,3.0
10,1,Total,2014,143322,162026,12532,2251,24292,1021,284,128161,0.0,0.0
11,1,Total,2015,139969,158364,12485,2269,24114,1069,304,128273,1.0,2.0
12,1,Total,2016,145983,161638,13157,2341,24700,1096,325,133195,47.0,9.0
13,1,Total,2017,151034,168716,12343,2191,24361,1161,403,133077,99.0,24.0
14,1,Total,2018,154556,170598,12421,2196,24790,1204,422,136983,155.0,44.0
15,2,Active,2014,152013,152726,8891,1793,17758,695,192,107349,0.0,0.0
16,2,Active,2015,150600,150692,8917,1828,17812,721,226,108981,2.0,0.0
17,2,Active,2016,152920,151085,9120,1814,17901,774,229,111937,35.0,4.0
18,2,Active,2017,162220,159917,8694,1724,18169,821,302,114941,93.0,29.0
19,2,Active,2018,159400,155996,8457,1712,18008,830,291,114789,137.0,43.0
20,2,Inactive,2014,7078,5036,262,92,817,36,9,4534,0.0,0.0
21,2,Inactive,2015,6597,4695,251,76,763,37,12,4253,0.0,0.0
22,2,Inactive,2016,9072,6542,357,125,1057,54,16,5951,2.0,0.0
23,2,Inactive,2017,5156,4118,243,87,598,30,6,3760,2.0,0.0
24,2,Inactive,2018,9440,7752,428,119,1043,61,13,6832,6.0,3.0
25,2,Total,2014,159091,157762,9153,1885,18575,731,201,111883,0.0,0.0
26,2,Total,2015,157197,155387,9168,1904,18575,758,238,113234,2.0,0.0
27,2,Total,2016,161992,157627,9477,1939,18958,828,245,117888,37.0,4.0
28,2,Total,2017,167376,164035,8937,1811,18767,851,308,118701,95.0,29.0
29,2,Total,2018,168840,163748,8885,1831,19051,891,304,121621,143.0,46.0
30,3,Active,2014,185944,148072,6254,1238,19469,710,181,121438,0.0,0.0
31,3,Active,2015,183513,146150,6229,1275,19526,741,196,122478,1.0,2.0
32,3,Active,2016,185541,146792,6249,1316,19560,761,197,124854,57.0,7.0
33,3,Active,2017,195755,154597,6054,1234,19959,812,247,129858,106.0,89.0
34,3,Active,2018,188902,148599,5872,1193,19370,832,228,127907,144.0,115.0
35,3,Inactive,2014,6776,4294,187,66,670,39,7,4013,0.0,0.0
36,3,Inactive,2015,7766,4764,183,60,773,41,8,4633,0.0,0.0
37,3,Inactive,2016,8967,6087,240,69,947,50,11,5727,0.0,0.0
38,3,Inactive,2017,6300,4103,170,42,591,35,10,3909,2.0,3.0
39,3,Inactive,2018,12367,8835,305,69,1255,68,16,8315,3.0,4.0
40,3,Total,2014,192720,152366,6441,1304,20139,749,188,125451,0.0,0.0
41,3,Total,2015,191279,150914,6412,1335,20299,782,204,127111,1.0,2.0
42,3,Total,2016,194508,152879,6489,1385,20507,811,208,130581,57.0,7.0
43,3,Total,2017,202055,158700,6224,1276,20550,847,257,133767,108.0,92.0
44,3,Total,2018,201269,157434,6177,1262,20625,900,244,136222,147.0,119.0
45,4,Active,2014,200967,168159,5292,1390,17793,679,138,106900,0.0,0.0
46,4,Active,2015,201357,166613,5398,1406,18075,719,150,109565,0.0,0.0
47,4,Active,2016,205064,167016,5417,1406,18078,801,163,113218,52.0,10.0
48,4,Active,2017,216545,171973,5218,1384,18289,911,205,117381,100.0,139.0
49,4,Active,2018,204544,160861,4911,1286,17455,888,162,113486,148.0,173.0
50,4,Inactive,2014,4731,3245,100,35,429,23,3,2138,0.0,0.0
51,4,Inactive,2015,6221,4346,142,38,572,31,4,2987,0.0,0.0
52,4,Inactive,2016,7812,5521,187,50,712,35,5,3908,0.0,0.0
53,4,Inactive,2017,3942,2992,95,21,374,21,3,2303,0.0,0.0
54,4,Inactive,2018,15085,10302,315,119,1269,74,6,8442,4.0,2.0
55,4,Total,2014,205698,171404,5392,1425,18222,702,141,109038,0.0,0.0
56,4,Total,2015,207578,170959,5540,1444,18647,750,154,112552,0.0,0.0
57,4,Total,2016,212876,172537,5604,1456,18790,836,168,117126,52.0,10.0
58,4,Total,2017,220487,174965,5313,1405,18663,932,208,119684,100.0,139.0
59,4,Total,2018,219629,171163,5226,1405,18724,962,168,121928,152.0,175.0
60,5,Active,2014,285333,33584,1534,1254,8526,238,50,53409,0.0,0.0
61,5,Active,2015,277835,32526,1514,1247,8354,263,44,53576,0.0,0.0
62,5,Active,2016,278079,32411,1506,1261,8386,290,41,56652,51.0,4.0
63,5,Active,2017,303526,34607,1490,1224,8784,412,46,60923,122.0,22.0
64,5,Active,2018,298385,33244,1468,1251,8662,483,43,62106,175.0,27.0
65,5,Inactive,2014,15749,1755,83,104,526,14,0,3294,0.0,0.0
66,5,Inactive,2015,20367,2103,98,134,690,17,2,4170,0.0,0.0
67,5,Inactive,2016,17050,1763,81,105,559,20,3,3382,1.0,0.0
68,5,Inactive,2017,17091,1686,84,114,556,24,2,3555,4.0,0.0
69,5,Inactive,2018,20071,2273,88,126,643,30,2,4380,9.0,3.0
70,5,Total,2014,301082,35339,1617,1358,9052,252,50,56703,0.0,0.0
71,5,Total,2015,298202,34629,1612,1381,9044,280,46,57746,0.0,0.0
72,5,Total,2016,295129,34174,1587,1366,8945,310,44,60034,52.0,4.0
73,5,Total,2017,320617,36293,1574,1338,9340,436,48,64478,126.0,22.0
74,5,Total,2018,318456,35517,1556,1377,9305,513,45,66486,184.0,30.0
75,6,Active,2014,193507,51539,2262,887,9119,432,77,77306,0.0,0.0
76,6,Active,2015,186189,49018,2142,910,8822,441,70,76368,0.0,0.0
77,6,Active,2016,186775,48648,2070,931,8725,481,79,78863,29.0,6.0
78,6,Active,2017,202317,53812,2019,868,9029,581,93,86114,105.0,17.0
79,6,Active,2018,198024,52511,1951,849,8905,592,83,87250,161.0,38.0
80,6,Inactive,2014,13180,3361,125,69,705,29,10,5640,0.0,0.0
81,6,Inactive,2015,16415,4012,157,81,862,31,15,7007,0.0,0.0
82,6,Inactive,2016,13012,3026,136,64,663,23,10,5518,0.0,0.0
83,6,Inactive,2017,13980,3455,156,69,748,29,10,6150,0.0,0.0
84,6,Inactive,2018,15016,3699,145,77,789,35,9,6769,4.0,0.0
85,6,Total,2014,206687,54900,2387,956,9824,461,87,82946,0.0,0.0
86,6,Total,2015,202604,53030,2299,991,9684,472,85,83375,0.0,0.0
87,6,Total,2016,199787,51674,2206,995,9388,504,89,84381,29.0,6.0
88,6,Total,2017,216297,57267,2175,937,9777,610,103,92264,105.0,17.0
