Year,DOMINANT_PARTY,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL,WEP,REF,DOMINANT_PERCENTAGE,Flipped
2014,REP,143322,162026,12532,2251,24292,1021,284,128161,473889,0.0,0.0,34.19,0
2015,REP,139969,158364,12485,2269,24114,1069,304,128273,466850,1.0,2.0,33.92,0
2016,REP,145983,161638,13157,2341,24700,1096,325,133195,482491,47.0,9.0,33.5,0
2017,REP,151034,168716,12343,2191,24361,1161,403,133077,493409,99.0,24.0,34.19,0
2018,REP,154556,170598,12421,2196,24790,1204,422,136983,503369,155.0,44.0,33.89,0
2014,DEM,159091,157762,9153,1885,18575,731,201,111883,459281,0.0,0.0,34.64,1
2015,DEM,157197,155387,9168,1904,18575,758,238,113234,456463,2.0,0.0,34.44,0
2016,DEM,161992,157627,9477,1939,18958,828,245,117888,468995,37.0,4.0,34.54,0
2017,DEM,167376,164035,8937,1811,18767,851,308,118701,480910,95.0,29.0,34.8,0
2018,DEM,168840,163748,8885,1831,19051,891,304,121621,485360,143.0,46.0,34.79,0
2014,DEM,192720,152366,6441,1304,20139,749,188,125451,499358,0.0,0.0,38.59,0
2015,DEM,191279,150914,6412,1335,20299,782,204,127111,498339,1.0,2.0,38.38,0
2016,DEM,194508,152879,6489,1385,20507,811,208,130581,507432,57.0,7.0,38.33,0
2017,DEM,202055,158700,6224,1276,20550,847,257,133767,523876,108.0,92.0,38.57,0
2018,DEM,201269,157434,6177,1262,20625,900,244,136222,524399,147.0,119.0,38.38,0
2014,DEM,205698,171404,5392,1425,18222,702,141,109038,512022,0.0,0.0,40.17,0
2015,DEM,207578,170959,5540,1444,18647,750,154,112552,517624,0.0,0.0,40.1,0
2016,DEM,212876,172537,5604,1456,18790,836,168,117126,529455,52.0,10.0,40.21,0
2017,DEM,220487,174965,5313,1405,18663,932,208,119684,541896,100.0,139.0,40.69,0
2018,DEM,219629,171163,5226,1405,18724,962,168,121928,539532,152.0,175.0,40.71,0
2014,DEM,301082,35339,1617,1358,9052,252,50,56703,405453,0.0,0.0,74.26,0
2015,DEM,298202,34629,1612,1381,9044,280,46,57746,402940,0.0,0.0,74.01,0
2016,DEM,295129,34174,1587,1366,8945,310,44,60034,401645,52.0,4.0,73.48,0
2017,DEM,320617,36293,1574,1338,9340,436,48,64478,434272,126.0,22.0,73.83,0
2018,DEM,318456,35517,1556,1377,9305,513,45,66486,433469,184.0,30.0,73.47,0
2014,DEM,206687,54900,2387,956,9824,461,87,82946,358248,0.0,0.0,57.69,0
2015,DEM,202604,53030,2299,991,9684,472,85,83375,352540,0.0,0.0,57.47,0
2016,DEM,199787,51674,2206,995,9388,504,89,84381,349059,29.0,6.0,57.24,0
2017,DEM,216297,57267,2175,937,9777,610,103,92264,379552,105.0,17.0,56.99,0
2018,DEM,213040,56210,2096,926,9694,627,92,94019,376907,165.0,38.0,56.52,0
2014,DEM,280527,26660,1047,1742,8626,923,143,70161,389829,0.0,0.0,71.96,0
2015,DEM,276134,25764,1012,1719,8543,961,139,71051,385324,1.0,0.0,71.66,0
2016,DEM,259832,22438,856,1621,7744,872,133,65468,359029,57.0,8.0,72.37,0
2017,DEM,304292,26612,966,1606,8245,1018,158,75431,418489,146.0,15.0,72.71,0
2018,DEM,303054,26091,936,1588,8137,1054,133,76794,418023,213.0,23.0,72.5,0
